,Name,AddressLine1,AddressLine2,AddressLine3,City,State,ZipCode,DesignatorCode,CertificateHoldingOffice,CertificateNumber,AccessoryRatingClass1,AccessoryRatingClass2,AccessoryRatingClass3,AccessoryRatingLimited,AirframeRatingClass1,AirframeRatingClass2,AirframeRatingClass3,AirframeRatingClass4,AirframeRatingLimited,InstrumentRatingClass1,InstrumentRatingClass2,InstrumentRatingClass3,InstrumentRatingClass4,InstrumentRatingLimited,PowerplantRatingClass1,PowerplantRatingClass2,PowerplantRatingClass3,PowerplantRatingLimited,PropellerRating1,PropellerRating2,PropellerRatingLimited,RadioRatingClass1,RadioRatingClass2,RadioRatingClass3,RadioRatingLimited,LimitedRatingEquipment,LimitedRatingAircraftFabric,LimitedRatingNonDestructiveTst,LimitedRatingFloats,LimitedRatingSpecializedServic,LimitedRatingRotorBlades,LimitedRatingLandingGear,Status,Original_Issue_Date,EASA_Certificate_Number,EASA_Expiration_Date,Certificated_Mechanics,Repairmen,Non_Certificated,Total_Employees,coords,lat,long
0,IOMAX USA                                         ,129 Yeager Road                    ,Hangar 141                         ,                                   ,MOORESVILLE           ,NC,28117,10XR,EA68,10XR430D,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N, ACTIVE            , 18-APR-2019, , ,6.0,1.0,10.0,17.0,"(35.5247513, -80.8785352)",35.5247513,-80.8785352
1,ACL AIRSHOP LLC                                   ,855 Bonnie Lane                    ,                                   ,                                   ,Elk Grove Village     ,IL,60007,114R,GL03,114R717D,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 4-DEC-2019, , ,0.0,3.0,0.0,3.0,"(42.0224699, -87.9640674)",42.0224699,-87.9640674
2,AIRREADY MRO SERVICES INC                         ,580 CIRCLE DRIVE                   ,                                   ,                                   ,MELBOURNE             ,AR,72556,11BR,SW11,11BR965Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 5-JUL-2007,  6063        ,  1-AUG-2021,18.0,15.0,30.0,62.0,"(36.06089748562846, -91.90119822152117)",36.06089748562846,-91.90119822152117
3,AERO NAUTICAL INTERIORS INCORPORATED              ,5351 HIGHWAY 280 EAST              ,                                   ,                                   ,PEMBROKE              ,GA,31321,11NR,SO11,11NR197B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 9-OCT-2008, , ,0.0,1.0,1.0,2.0,"(32.16771429431669, -81.63396726561118)",32.16771429431669,-81.63396726561118
4,ROTOR RESOURCES LLC                               ,169 COMMODORE PATH                 ,                                   ,                                   ,HIRAM                 ,GA,30141,11RR,SO11,11RR014B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 23-JAN-2008, , ,4.0,0.0,1.0,10.0,"(33.862254935514, -84.77757246768351)",33.862254935514,-84.77757246768351
5,WESTERN PLAINS AVIATION LLC                       ,3401 E 8th Street                  ,                                   ,                                   ,Greeley               ,CO,80631,122R,NM03,122R933C,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 25-OCT-2016, , ,3.0,2.0,0.0,6.0,"(40.41213512359612, -104.6969218656837)",40.41213512359612,-104.6969218656837
6,"GEF AVIATION, INC.                                ",750 SW 34TH Street                 ,Suite 111                          ,                                   ,Ft. Lauderdale        ,FL,33315,127R,SO19,127R938N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 27-SEP-2017, , ,1.0,1.0,2.0,4.0,"(26.0690451, -80.1603044)",26.0690451,-80.1603044
7,GARNER GROUP                                      ,9136 East Lakeview Drive           ,                                   ,                                   ,Sun Lakes             ,AZ,85248,12KR,WP07,12KR160C,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 14-NOV-2016, , ,1.0,0.0,0.0,2.0,"(33.26065575, -111.8599269464049)",33.26065575,-111.8599269464049
8,PEE DEE AVIONICS INC                              ,197 JANICE CIRCLE                  ,                                   ,                                   ,CHERAW                ,SC,29520,12PR,SO13,12PR349C,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 21-NOV-2014, , ,1.0,0.0,3.0,4.0,"(34.69187013740769, -79.91091879426861)",34.69187013740769,-79.91091879426861
9,MAAS AVIATION BROOKLEY INC                        ,321 Airbus Way                     ,                                   ,                                   ,Mobile                ,AL,36615,136R,SO09,136R021D,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 18-JAN-2017, , ,3.0,5.0,48.0,56.0,"(30.632623536191538, -88.06210255012903)",30.632623536191538,-88.06210255012903
